ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21
1190	815410301	$29.95	On Campaign with the Army of the Potomac: The Civil War Journal of Theodore Ayrault Dodge		Sears, Stephen W.			Please see print version for full text.	Ethier, Eric	Fall 2001	2001-09-01	Review			Cooper Square Publishers					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/OnCampaignWithArmy.jpg"">"	
1191	679640223	$16.95	The Secret Service of the Confederate States in Europe or How the Confederate Cruisers were Equipped		Bulloch, James D.			Please see print version for full text.	O'Connor, E. Rory	Fall 2001	2001-09-01	Review			Modern Library					"<img hspace=6 align=LEFT width=161 height=248 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JamesBullochTheSecretService.jpg"">"	
1192	081301834X	$55.00	Archaeological Perspectives on the American Civil War		Geier, Clarence R.	Potter, Stephen R.		Please see print version for full text.	Ross, Charles D.	Fall 2001	2001-09-01	Review			University Press of Florida					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/archaeologicalperspectives.jpg"">"	
1193	393047709	$75.00	The Encyclopedia of Nineteenth-Century Land Warfare: An Illustrated World View		Farwell, Byron			Please see print version for full text.	Reedy, Jory V.	Fall 2001	2001-09-01	Review			W. W. Norton & Company					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/encyclopedialandwarfare.jpg"">"	
1194	826213219	$29.95	Gettysburg to Vicksburg:  The Five Original Civil War Battlefield Parks		Hattaway, Herman	Meek, A.J.		Please see print version for full text.	Lighthizer, O. James	Fall 2001	2001-09-01	Review			University of Missouri Press					"<img hspace=6 align=LEFT width=161 height=115 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MeekGettysburgtoVicksburg.jpg"">"	
1195	157249204X	$29.95	Military Justice in the Confederate States Armies		Bunch, Jack A.			Please see print version for full text.	Lowry, Thomas P.	Fall 2001	2001-09-01	Review			White Mane Publishing Company					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/militaryjusticeintheconfede.jpg"">"	
1196	807125954	$49.95	Divided Hearts: Britain and the American Civil War		Blackett, R.J.M.			Please see print version for full text.	Rable, George C.	Fall 2001	2001-09-01	Review			Louisiana State University Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/DividedHearts.jpg"">"	
1197	670899976	$22.95	Civil Blood: A Civil War Mystery		McMillan, Ann			Please see print version for full text.	Shuman, Malcolm K.	Fall 2001	2001-09-01	Review			Viking Books					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/AnnMcMillanCivilBlood.jpg"">"	
1198	813529433	$25.00	Beneath the Starry Flag:  New Jersey's Civil War Experience		Siegel, Alan A.			Please see print version for full text.	Collins, Bob	Fall 2001	2001-09-01	Review			Rutgers University Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/beneaththestarryflag.jpg"">"	
1199	803221703	$47.50	The Collapse of the Confederacy		Grimsley,  Mark	Simpson, Brooks D.		Please see print version for full text.	Owens, Mackubin Thomas	Fall 2001	2001-09-01	Review			University of Nebraska Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/collapseoftheconfederacy.jpg"">"	
1200	195141776	$35.00	The Slaveholding Republic: An Account of the United States Government's Relations to Slavery		Fehrenbacher, Don E.	McAfee, Ward M.		Please see print version for full text.	Hardy Jr., James D.	Fall 2001	2001-09-01	Review			Oxford University Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/SlaveholdingRepublic.jpg"">"	
1201	842028811	$65.00	Retreat to Victory? Confederate Strategy Reconsidered		Tanner, Robert G.			Please see print version for full text.	Owens, Mackubin Thomas	Fall 2001	2001-09-01	Review			SR Books					"<img hspace=6 align=LEFT width=161 height=249 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/RobertTannerRetreatToVictory.jpg"">"	
1202	1572492082	$5.95	Send 'Em South: Young Heroes of History Series		Kay, Alan N.			Please see print version for full text.	Pfeiffer, Julie	Fall 2001	2001-09-01	Review			White Mane Publishing Co.					"<img hspace=6 align=LEFT width=161 height=232 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/AlanKaySendEmSouth.jpg"">"	
1203	1557503338	$46.95	The U.S. Navy and the Origins of the Military-Industrial Complex, 1847-1883		Hackemer, Kurt			Please see print version for full text.	Beeler, John	Fall 2001	2001-09-01	Review			Naval Institute Press					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/USNavyMilitaryIndustrial.jpg"">"	
1204	1565548728	$10.95	Yankees on the Doorstep: The Story of Sarah Morgan		Smith, Debra West			Please see print version for full text.	Pfeiffer, Julie	Fall 2001	2001-09-01	Review			Pelican Publishing Company					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/yankeesonthedoorstep.jpg"">"	
