"ID"	"ISBN"	"Price"	"Title"	"Teaser"	"Auth_1"	"Auth_2"	"Auth_3"	"Review"	"Reviewer"	"Issue_date"	"Issue"	"Record_type"	"Sub_headline"	"Headline"	"Publisher"	"Pub_date"	"Categories"	"SubCategories"	"Metadata"	"Image"	"Image2"	"Image3"	"Image4"	"Image5"	"Audio1"	"Link1"	"Link2"
6442	9780813938776	"$39.50"	"A Sage of the New South: Race, Law, and Public Debt in Virginia"		"Tarter, Brent"					"Spring 2017"	"2017-5-1"	"Annotation"			"University of Virginia Press"		"Reconstruction;Social_History"			"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/VAdebt.jpg"">"						"<a href=""http://www.upress.virginia.edu/title/4940"">Click here for more information</a>"	
6446	9781594162268	"$18.95"	"Lee's Lost Dispatch and Other Civil War Controversies"		"Leigh, Philip"					"Spring 2017"	"2017-5-1"	"Annotation"			" Westholme"		"Battles;Military;Politics"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/leeslostdispatch.jpg"">"						"<a href=""http://www.westholmepublishing.com/lees_lost_dispatch.php "">Click here for more information</a>"	
6439	9780300223385	"$28.00"	"The Winchester: The Gun That Built an american Dynasty"		"Trevelyan, Laura"					"Spring 2017"	"2017-5-1"	"Annotation"			"Yale University Press"		"Military;Politics"			"<img hspace=6 align=LEFT width=161 height=246 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/TrevelyanTheWinchester.jpg"">"						"<a href=""http://yalebooks.com/book/9780300223385/winchester"">Click here for more information</a>"	
6386	9781421421452	"$19.95 (paperback)"	"Living Hell: The Dark Side of the Civil War"		"Adams, Michael C.C."					"Winter 2017"	"2017-2-1"	"Annotation"			"Johns Hopkins Press"		"Military;Social_History"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/adamslivinghellf.jpg"">"						"<a href=""https://jhupbooks.press.jhu.edu/content/living-hell"">Click here for more information</a>"	
6370	9781421421285	"$45.00"	"Wealth and Disaster: Atlantic Migrations from a Pyrenean town in the Eighteenth and Nineteenth Centuries"		"Force, Pierre"					"Winter 2017"	"2017-2-1"	"Annotation"			"John Hopkins Press"		"Social_History"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ForceWealthandDisaster.jpg"">"						"<a href=""https://jhupbooks.press.jhu.edu/content/wealth-and-disaster"">Click here for more information</a>"	
6426		"$75.00"	"John McDonald and the Whiskey Ring: From Thug to Grant's Inner Circle"		"Cooper, Edward S."					"Spring 2017"	"2017-5-1"	"Annotation"			"Fairleigh Dickinson University Press"		"Military;Politics"		9781683930129	"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CooperWhiskeyRing.jpg"">"						"<a href=""https://rowman.com/ISBN/9781683930129/John-McDonald-and-the-Whiskey-Ring-From-Thug-to-Grants-Inner-Circle"">Click here for more information</a>"	
6331	9781574416503	"$29.95"	"No Hope for Heaven, No Fear of Hell: The Stafford-Townsend Feud of Colorado County, Texas, 1871-1911"		"Kearney, James C.; Stein, Bill"	"Smallwood, James"				"Fall 2016"	"2016-11-1"	"Annotation"			"University of North Texas Press"		"Politics;Social_History"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/KearneyNoHopeforHeaven.jpg"">"						"<a href=""https://untpress.unt.edu/catalog/3715"">Click here for more information</a>"	
6440	9781515396994	"$19.95"	"Hoffman's Army: The 31st Virginia Infantry, CSA"		"Wooddell, David W."					"Spring 2017"	"2017-5-1"	"Annotation"			"CreateSpace Publishing"		"Battles;Military;Reference;Regiment"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WooddellHoffmansArmy.jpg"">"						"<a href=""https://www.amazon.com/Hoffmans-Army-31st-Virginia-Infantry/dp/1515396991/ref=sr_1_1?s=books&ie=UTF8&qid=1493229833&sr=1-1&keywords=hoffman%27s+army"">Click here for more information</a>"	
6382	9780738503578	"$24.99"	"The Union Cavalry Comes of Age: Hartwood Church to Brandy Station, 1863"		"Wittenberg, Eric J."					"Winter 2017"	"2017-2-1"	"Annotation"			"History Press"		"Battles;Cavalry;Military"			"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/WittenbergTheUnionCavalry.jpg"">"						"<a href=""https://www.arcadiapublishing.com/Products/9780738503578"">Click here for more information</a>"	
6312	9781467136969	"$21.99"	"Paducah and the Civil War"		"Cashon, John Philip"					"Fall 2016"	"2016-11-1"	"Annotation"			"Arcadia"		"Military"			"<img hspace=6 align=LEFT width=161 height=232 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CashonPaducahandtheCivilWar.jpg"">"						"<a href=""https://www.arcadiapublishing.com/Products/97814671"">Click here for more information</a>"	
